Order	Lambda	Cal	Bkgrnd
	(um)	(DN/s/col)	(DN/s/pix)
3	2.3448644	209.53	19.415
3	2.344579	213.16	17.567
3	2.3442938	232.13	14.621
3	2.3440084	235.78	14.214
3	2.3437231	230.69	15.037
3	2.3434379	220.09	15.795
3	2.3431525	226.8	15.138
3	2.3428671	229.1	14.298
3	2.342582	231.43	14.392
3	2.3422966	227.09	16.739
3	2.3420112	220.3	21.028
3	2.3417258	209.42	20.341
3	2.3414404	219.96	17.847
3	2.3411553	213.67	18.525
3	2.3408699	211.35	18.083
3	2.3405845	220.56	17.517
3	2.3402991	210.05	19.288
3	2.3400137	195.01	20.397
3	2.3397284	200.45	18.123
3	2.339443	219.01	15.412
3	2.3391576	234.56	14.743
3	2.3388722	229.87	16.396
3	2.3385868	225.7	16.9
3	2.3383014	221.78	16.051
3	2.338016	218	14.744
3	2.3377306	235.73	13.737
3	2.3374453	244.92	13.284
3	2.3371599	243.71	12.89
3	2.3368745	244.96	12.87
3	2.3365889	243.74	13.178
3	2.3363035	242.49	13.568
3	2.3360181	233.92	14.074
3	2.3357327	230.93	13.727
3	2.3354473	242.77	13.317
3	2.3351617	243.29	14.396
3	2.3348763	234.02	15.134
3	2.3345909	231.83	14.232
3	2.3343053	237.14	13.492
3	2.3340199	237.73	13.803
3	2.3337345	239.29	13.411
3	2.3334489	243.28	12.727
3	2.3331635	245.23	12.393
3	2.3328779	249.13	12.746
3	2.3325925	242.18	13.219
3	2.3323071	239.04	13.785
3	2.3320215	234.48	13.737
3	2.3317361	230.69	14.688
3	2.3314505	228.84	15.038
3	2.3311651	240.8	14.198
3	2.3308794	244.45	13.619
3	2.3305938	236.4	13.172
3	2.3303084	250.17	12.75
3	2.3300228	256.47	12.611
3	2.3297374	252.47	12.727
3	2.3294518	250.13	13.1
3	2.3291662	242.76	13.22
3	2.3288805	240.25	13.239
3	2.3285952	231.89	15.109
3	2.3283095	218.81	15.3
3	2.3280239	239.72	13.224
3	2.3277383	249.09	12.233
3	2.3274529	251.47	12.073
3	2.3271673	254.95	11.799
3	2.326895	253	11.855
3	2.3266096	249.68	12.486
3	2.326324	244.17	12.48
3	2.3260384	250.91	12.322
3	2.3257527	247.18	12.283
3	2.3254671	241.7	13.679
3	2.3251815	234.6	15.095
3	2.3248959	247.43	15.568
3	2.3246102	257.06	14.57
3	2.3243246	250.86	13.291
3	2.324039	250.12	12.623
3	2.3237534	244.86	12.835
3	2.3234677	248.02	13.858
3	2.3231821	246.01	15.856
3	2.3228965	232.01	16.526
3	2.3226106	236.51	16.104
3	2.322325	235.43	16.084
3	2.3220394	236.28	17.382
3	2.3217537	224.13	18.007
3	2.3214681	236.11	14.657
3	2.3211823	246.86	12.684
3	2.3208966	250.21	13.768
3	2.320611	241.06	15.154
3	2.3203254	245.16	14.208
3	2.3200395	247.19	12.924
3	2.3197539	239.57	12.921
3	2.3194683	236.27	13.4
3	2.3191824	238.02	13.056
3	2.3188968	243.61	13.129
3	2.3186109	233.59	14.219
3	2.3183253	217.99	15.114
3	2.3180394	216.5	15.975
3	2.3177538	206.23	15.909
3	2.3174679	203.56	16.203
3	2.3171823	195.87	17.517
3	2.3168964	174.89	18.944
3	2.3166108	183.77	17.915
3	2.3163249	212.04	15.622
3	2.3160393	229.74	13.693
3	2.3157535	239.83	12.544
3	2.3154676	253.92	11.208
3	2.315182	263.11	10.92
3	2.3148961	263.08	10.977
3	2.3146102	267.33	10.9
3	2.3143246	266.69	10.731
3	2.3140388	266.67	10.451
3	2.3137529	264.68	10.506
3	2.313467	268.08	10.529
3	2.3131814	269.61	10.82
3	2.3128955	264.56	10.842
3	2.3126097	267.74	10.868
3	2.3123238	261.15	10.818
3	2.3120379	253.88	11.2
3	2.3117521	258.93	11.297
3	2.3114665	268.16	11.567
3	2.3111806	268.82	11.391
3	2.3108947	265.82	10.952
3	2.3106089	267.32	11.081
3	2.310323	268.75	11.91
3	2.3100371	264.1	11.676
3	2.3097513	257.95	11.239
3	2.3094654	259.8	11.494
3	2.3091795	256.53	12.141
3	2.3088934	261.6	12.107
3	2.3086076	260.23	11.521
3	2.3083217	264.35	10.928
3	2.3080359	257.72	10.971
3	2.30775	252.65	12.352
3	2.3074641	242.2	13.265
3	2.3071783	241.64	12.144
3	2.3068922	261.33	10.854
3	2.3066063	257.53	11.19
3	2.3063204	253.51	11.107
3	2.3060346	255.11	10.936
3	2.3057485	255.11	11.214
3	2.3054626	252.34	11.529
3	2.3051767	253.09	11.254
3	2.3048906	258.95	11.191
3	2.3046048	249.04	11.958
3	2.3043187	241.19	12.347
3	2.3040328	242.55	11.891
3	2.3037469	246.84	12.107
3	2.3034608	233.03	12.074
3	2.303175	248.58	11.28
3	2.3028889	259.09	10.824
3	2.302603	256.64	11.158
3	2.3023169	254.94	11.098
3	2.302031	259.49	10.781
3	2.3017449	260.76	10.515
3	2.3014588	267.14	10.236
3	2.301173	262.64	10.651
3	2.3008869	255.3	11.305
3	2.300601	243.64	11.786
3	2.3003149	241.24	12.068
3	2.3000288	238.58	11.927
3	2.2997429	245.85	11.253
3	2.2994568	255.34	11.022
3	2.2991707	248.08	11.525
3	2.2988846	253.43	14.26
3	2.2986119	241.09	17.39
3	2.298326	231.86	17.718
3	2.2980399	237.58	14.539
3	2.2977538	263.5	12.054
3	2.2974677	271.96	11.343
3	2.2971816	272.74	10.56
3	2.2968955	268.45	10.951
3	2.2966094	265.31	11.949
3	2.2963233	263.82	11.755
3	2.2960374	252.78	11.568
3	2.2957513	242.46	12.919
3	2.2954652	236.08	13.819
3	2.2951791	249.66	13.948
3	2.2948928	245.02	13.486
3	2.2946067	243.88	13.063
3	2.2943206	262.52	12.298
3	2.2940345	264.55	14.19
3	2.2937484	254.54	15.258
3	2.2934623	258.89	12.168
3	2.2931762	270.1	9.968
3	2.2928901	272.69	9.6
3	2.292604	263.14	10.592
3	2.2923176	248.5	11.464
3	2.2920315	252.91	11.276
3	2.2917454	267.1	10.621
3	2.2914593	271.39	10.546
3	2.291173	267.59	10.628
3	2.2908869	265.33	10.347
3	2.2906008	265.52	9.805
3	2.2903144	264.52	10.206
3	2.2900283	246.48	11.658
3	2.2897422	231.15	12.401
3	2.2894559	238.51	11.795
3	2.2891698	247.6	10.766
3	2.2888834	270.99	9.839
3	2.2885973	276.13	9.409
3	2.288311	276.56	9.666
3	2.2880249	276.78	9.644
3	2.2877388	273.49	9.733
3	2.2874525	269.83	9.796
3	2.2871661	275.2	9.863
3	2.28688	277	9.903
